Grid	Japanese(Kanji)	Japanese(Kana)	Romanized Japanese	Latitude	Longitude	Classification
6644	網走川	あばしりがわ	Abashiri Gawa	44°01'	144°17'	River
6544	網走湖	あばしりこ	Abashiri Ko	43°58'	144°11'	Lake
6644	網走市	あばしりし	Abashiri Shi	44°01'	144°16'	Municipality
5238	安倍川	あべかわ	Abe Kawa	34°56'	138°24'	River
5340	我孫子市	あびこし	Abiko Shi	35°52'	140°02'	Municipality
6441	安平町	あびらちょう	Abira Cho	42°46'	141°49'	Municipality
6341	安平川	あびらがわ	Abira Gawa	42°37'	141°44'	River
5437	安房峠	あぼうとうげ	Abo Toge	36°12'	137°35'	Pass
5131	阿武町	あぶちょう	Abu Cho	34°30'	131°28'	Municipality
5131	阿武川	あぶがわ	Abu Gawa	34°25'	131°24'	River
5740	阿武隈川	あぶくまがわ	Abukuma Gawa	38°03'	140°55'	River
5640	阿武隈高地	あぶくまこうち	Abukuma Kochi	37°22'	140°46'	Extensive natural feature
5337	阿智村	あちむら	Achi Mura	35°27'	137°45'	Municipality
5339	足立区	あだちく	Adachi Ku	35°46'	139°48'	Municipality
5030	足立山	あだちやま	Adachi Yama	33°52'	130°55'	Mountain
5640	安達太良山	あだたらやま	Adatara Yama	37°37'	140°17'	Mountain
5236	安曇川	あどがわ	Ado Gawa	35°19'	136°05'	River
5639	阿賀川	あががわ	Aga Gawa	37°40'	139°36'	River
5639	阿賀町	あがまち	Aga Machi	37°41'	139°28'	Municipality
5639	阿賀野川	あがのがわ	Agano Gawa	37°58'	139°08'	River
5639	阿賀野市	あがのし	Agano Shi	37°50'	139°14'	Municipality
5439	吾妻川	あがつまがわ	Agatsuma Gawa	36°30'	139°01'	River
5337	上松町	あげまつまち	Agematsu Machi	35°47'	137°42'	Municipality
5339	上尾市	あげおし	Ageo Shi	35°59'	139°36'	Municipality
5236	阿久比町	あぐいちょう	Agui Cho	34°56'	136°55'	Municipality
3927	粟国島	あぐにじま	Aguni Jima	26°35'	127°14'	Island
3927	粟国村	あぐにそん	Aguni Son	26°35'	127°14'	Municipality
5131	相島	あいしま	Ai Shima	34°30'	131°17'	Island
6542	愛別町	あいべつちょう	Aibetsu Cho	43°54'	142°35'	Municipality
5236	愛知県	あいちけん	Aichi Ken	35°11'	136°54'	Municipality
5236	愛知用水	あいちようすい	Aichi Yosui	34°43'	136°57'	River
5738	相川	あいかわ	Aikawa	38°02'	138°14'	Populated area
5339	愛川町	あいかわまち	Aikawa Machi	35°32'	139°19'	Municipality
4932	愛南町	あいなんちょう	Ainan Cho	32°58'	132°35'	Municipality
4929	相ノ島	あいのしま	Ainoshima	32°55'	129°11'	Island
5030	相島	あいのしま	Ainoshima	33°46'	130°22'	Island
5234	相生市	あいおいし	Aioi Shi	34°48'	134°28'	Municipality
4730	姶良市	あいらし	Aira Shi	31°44'	130°38'	Municipality
5236	愛西市	あいさいし	Aisai Shi	35°09'	136°44'	Municipality
5236	愛荘町	あいしょうちょう	Aisho Cho	35°10'	136°13'	Municipality
5539	会津朝日岳	あいづあさひだけ	Aizuasahi Dake	37°13'	139°20'	Mountain
5639	会津坂下町	あいづばんげまち	Aizubange Machi	37°34'	139°49'	Municipality
