Japanese(Kanji)	Romanized Japanese
北海道	Hokkai Do
青森県	Aomori Ken
岩手県	Iwate Ken
宮城県	Miyagi Ken
秋田県	Akita Ken
山形県	Yamagata Ken
福島県	Fukushima Ken
茨城県	Ibaraki Ken
栃木県	Tochigi Ken
群馬県	Gunma Ken
埼玉県	Saitama Ken
千葉県	Chiba Ken
東京都	Tokyo To
神奈川県	Kanagawa Ken
新潟県	Niigata Ken
富山県	Toyama Ken
石川県	Ishikawa Ken
福井県	Fukui Ken
山梨県	Yamanashi Ken
長野県	Nagano Ken
岐阜県	Gifu Ken
静岡県	Shizuoka Ken
愛知県	Aichi Ken
三重県	Mie Ken
滋賀県	Shiga Ken
京都府	Kyoto Fu
大阪府	Osaka Fu
兵庫県	Hyogo Ken
奈良県	Nara Ken
和歌山県	Wakayama Ken
鳥取県	Tottori Ken
島根県	Shimane Ken
岡山県	Okayama Ken
広島県	Hiroshima Ken
山口県	Yamaguchi Ken
徳島県	Tokushima Ken
香川県	Kagawa Ken
愛媛県	Ehime Ken
高知県	Kochi Ken
福岡県	Fukuoka Ken
佐賀県	Saga Ken
長崎県	Nagasaki Ken
熊本県	Kumamoto Ken
大分県	Oita Ken
宮崎県	Miyazaki Ken
鹿児島県	Kagoshima Ken
沖縄県	Okinawa Ken
