jiscode	citynamejp	citynameen	regionalname	islandname	islandkana	islandnameen	lat	long	area	coast	h27pop	h22pop	law	desinatedname	manned	delegate
1367	北海道奥尻郡奥尻町	Okushiri, Hokkaido		奥尻島	おくしりとう	Okushirito	42.15199167	139.4832907	142.7	68	2690	3033	離島振興法	奥尻島	1	1
1484	北海道苫前郡羽幌町	Haboro, Hokkaido		焼尻島	やぎしりとう	Yagishirito	44.43688209	141.4052406	5.19	10.6	201	273	離島振興法	天売・焼尻	1	1
1484	北海道苫前郡羽幌町	Haboro, Hokkaido		天売島	てうりとう	Teurito	44.42762126	141.3137301	5.47	11.6	313	366	離島振興法	天売・焼尻	1	1
1517	北海道礼文郡礼文町	Rebun, Hokkaido		礼文島	れぶんとう	Rebunto	45.36876861	141.0166906	81.25	66.6	2773	3078	離島振興法	礼文島	1	1
1518	北海道利尻郡利尻町・利尻富士町	Rishiri and Rishirifuji in Hokkaido		利尻島	りしりとう	Rishirito	45.17835292	141.2286247	182.08	64	5090	5627	離島振興法	利尻島	1	1
1519	北海道利尻郡利尻町・利尻富士町	Rishiri and Rishirifuji in Hokkaido		利尻島	りしりとう	Rishirito	45.17835292	141.2286247	182.08	64	5090	5627	離島振興法	利尻島	1	0
1662	北海道厚岸郡厚岸町	Akkeshi, Hokkaido		小島（厚岸小島）	こじま（あっけしこじま）	Kojima (Akkeshikojima)	42.97480389	144.8794113	0.05	0.9	12	13	離島振興法	小島	1	1
4202	宮城県石巻市	Ishinomaki, Miyagi	牡鹿諸島	田代島	たしろじま	Tashirojima	38.29867362	141.4179431	2.92	11.5	62	81	離島振興法	牡鹿諸島	1	1
4202	宮城県石巻市	Ishinomaki, Miyagi	牡鹿諸島	網地島	あじしま	Ajishima	38.26476723	141.4790182	6.49	20.7	304	426	離島振興法	牡鹿諸島	1	1
4203	宮城県塩竈市	Shiogama, Miyagi	浦戸諸島	朴島	ほうじま	Hojima	38.35142778	141.1237914	0.34	2.2	12	24	離島振興法	浦戸諸島	1	1
4203	宮城県塩竈市	Shiogama, Miyagi	浦戸諸島	野々島	ののしま	Nonoshima	38.33798028	141.1124717	0.44	8.9	66	84	離島振興法	浦戸諸島	1	1
4203	宮城県塩竈市	Shiogama, Miyagi	浦戸諸島	桂島	かつらしま	Katsurashima	38.33405833	141.0966111	0.67	6.8	160	266	離島振興法	浦戸諸島	1	1
4203	宮城県塩竈市	Shiogama, Miyagi	浦戸諸島	寒風沢島	さぶさわじま	Sabusawajima	38.33131389	141.1235417	1.39	13.5	96	161	離島振興法	浦戸諸島	1	1
4581	宮城県牡鹿郡女川町	Onagawa, Miyagi	牡鹿諸島	出島	いずしま	Izushima	38.45132973	141.5246919	2.63	14	77	465	離島振興法	牡鹿諸島	1	1
4581	宮城県牡鹿郡女川町	Onagawa, Miyagi	牡鹿諸島	江島	えのしま	Enoshima	38.39927292	141.5943003	0.36	3.7	38	89	離島振興法	牡鹿諸島	1	1
6204	山形県酒田市	Sakata, Yamagata		飛島	とびしま	Tobishima	39.19497472	139.5519204	2.73	12	204	228	離島振興法	飛島	1	1
13361	東京都大島町	Oshima, Tokyo	伊豆諸島	大島（伊豆大島）	おおしま（いずおおしま）	Oshima (Izuoshima)	34.73862417	139.3993645	90.73	54	7884	8461	離島振興法	伊豆諸島	1	1
13362	東京都利島村	Toshima Village, Tokyo	伊豆諸島	利島	としま	Toshima	34.52302917	139.280241	4.12	7.7	337	341	離島振興法	伊豆諸島	1	1
13363	東京都新島村	Nijima, Tokyo	伊豆諸島	新島	にいじま	Niijima	34.38078251	139.2662996	22.97	41.6	2230	2351	離島振興法	伊豆諸島	1	1
13363	東京都新島村	Nijima, Tokyo	伊豆諸島	式根島	しきねじま	Shikinejima	34.32647597	139.2105153	3.67	12.2	519	532	離島振興法	伊豆諸島	1	1
13364	東京都神津島村	Kizushima, Tokyo	伊豆諸島	神津島	こうづしま	Kozushima	34.21422069	139.1477128	18.24	33.3	1891	1889	離島振興法	伊豆諸島	1	1
13381	東京都三宅村	Miyake, Tokyo	伊豆諸島	三宅島	みやけじま	Miyakejima	34.08511959	139.5198697	55.2	38.4	2482	2676	離島振興法	伊豆諸島	1	1
13382	東京都御蔵島村	Mikurajima, Tokyo	伊豆諸島	御蔵島	みくらじま	Mikurajima	33.8764189	139.6043225	20.51	16.4	335	348	離島振興法	伊豆諸島	1	1
