code	grid_id	romanji	kana	kanji	lat	lng	coordinates
JP-01	6441	Hokkai Do	ほっかいどう	北海道	43°04'	141°21'	43.066667,141.350000
JP-02	6140	Aomori Ken	あおもりけん	青森県	40°49'	140°44'	40.816667,140.733333
JP-03	5941	Iwate Ken	いわてけん	岩手県	39°42'	141°09'	39.700000,141.150000
JP-04	5740	Miyagi Ken	みやぎけん	宮城県	38°16'	140°52'	38.266667,140.866667
JP-05	5940	Akita Ken	あきたけん	秋田県	39°43'	140°06'	39.716667,140.100000
JP-06	5740	Yamagata Ken	やまがたけん	山形県	38°14'	140°22'	38.233333,140.366667
JP-07	5640	Fukushima Ken	ふくしまけん	福島県	37°45'	140°28'	37.750000,140.466667
JP-08	5440	Ibaraki Ken	いばらきけん	茨城県	36°21'	140°27'	36.350000,140.450000
JP-09	5439	Tochigi Ken	とちぎけん	栃木県	36°34'	139°53'	36.566667,139.883333
JP-10	5439	Gunma Ken	ぐんまけん	群馬県	36°23'	139°04'	36.383333,139.066667
JP-11	5339	Saitama Ken	さいたまけん	埼玉県	35°51'	139°39'	35.850000,139.650000
JP-12	5340	Chiba Ken	ちばけん	千葉県	35°36'	140°07'	35.600000,140.116667
JP-13	5339	Tokyo To	とうきょうと	東京都	35°41'	139°42'	35.683333,139.700000
JP-14	5339	Kanagawa Ken	かながわけん	神奈川県	35°27'	139°39'	35.450000,139.650000
JP-15	5639	Niigata Ken	にいがたけん	新潟県	37°54'	139°01'	37.900000,139.016667
JP-16	5537	Toyama Ken	とやまけん	富山県	36°42'	137°13'	36.700000,137.216667
JP-17	5436	Ishikawa Ken	いしかわけん	石川県	36°36'	136°38'	36.600000,136.633333
JP-18	5436	Fukui Ken	ふくいけん	福井県	36°04'	136°13'	36.066667,136.216667
JP-19	5338	Yamanashi Ken	やまなしけん	山梨県	35°40'	138°34'	35.666667,138.566667
JP-20	5438	Nagano Ken	ながのけん	長野県	36°39'	138°11'	36.650000,138.183333
JP-21	5336	Gifu Ken	ぎふけん	岐阜県	35°23'	136°43'	35.383333,136.716667
JP-22	5238	Shizuoka Ken	しずおかけん	静岡県	34°59'	138°23'	34.983333,138.383333
JP-23	5236	Aichi Ken	あいちけん	愛知県	35°11'	136°54'	35.183333,136.900000
JP-24	5236	Mie Ken	みえけん	三重県	34°44'	136°31'	34.733333,136.516667
JP-25	5235	Shiga Ken	しがけん	滋賀県	35°00'	135°52'	35.000000,135.866667
JP-26	5235	Kyoto Fu	きょうとふ	京都府	35°01'	135°45'	35.016667,135.750000
JP-27	5235	Osaka Fu	おおさかふ	大阪府	34°41'	135°31'	34.683333,135.516667
JP-28	5235	Hyogo Ken	ひょうごけん	兵庫県	34°41'	135°11'	34.683333,135.183333
JP-29	5235	Nara Ken	ならけん	奈良県	34°41'	135°50'	34.683333,135.833333
JP-30	5135	Wakayama Ken	わかやまけん	和歌山県	34°14'	135°10'	34.233333,135.166667
JP-31	5334	Tottori Ken	とっとりけん	鳥取県	35°30'	134°14'	35.500000,134.233333
JP-32	5333	Shimane Ken	しまねけん	島根県	35°28'	133°03'	35.466667,133.050000
JP-33	5233	Okayama Ken	おかやまけん	岡山県	34°40'	133°56'	34.666667,133.933333
JP-34	5132	Hiroshima Ken	ひろしまけん	広島県	34°24'	132°28'	34.400000,132.466667
JP-35	5131	Yamaguchi Ken	やまぐちけん	山口県	34°11'	131°28'	34.183333,131.466667
JP-36	5134	Tokushima Ken	とくしまけん	徳島県	34°04'	134°34'	34.066667,134.566667
JP-37	5134	Kagawa Ken	かがわけん	香川県	34°20'	134°03'	34.333333,134.050000
JP-38	5032	Ehime Ken	えひめけん	愛媛県	33°51'	132°46'	33.850000,132.766667
JP-39	5033	Kochi Ken	こうちけん	高知県	33°34'	133°32'	33.566667,133.533333
JP-40	5030	Fukuoka Ken	ふくおかけん	福岡県	33°36'	130°25'	33.600000,130.416667
JP-41	4930	Saga Ken	さがけん	佐賀県	33°15'	130°18'	33.250000,130.300000
JP-42	4929	Nagasaki Ken	ながさきけん	長崎県	32°45'	129°52'	32.750000,129.866667
JP-43	4930	Kumamoto Ken	くまもとけん	熊本県	32°47'	130°45'	32.783333,130.750000
JP-44	4931	Oita Ken	おおいたけん	大分県	33°14'	131°37'	33.233333,131.616667
JP-45	4731	Miyazaki Ken	みやざきけん	宮崎県	31°55'	131°25'	31.916667,131.416667
JP-46	4730	Kagoshima Ken	かごしまけん	鹿児島県	31°34'	130°33'	31.566667,130.550000
JP-47	3927	Okinawa Ken	おきなわけん	沖縄県	26°13'	127°41'	26.216667,127.683333
